degree,notes,notesF,majorIdx,minorIdx,freqMult,freq,roots5ths,notes5ths,freq5ths,majorScale5ths,majorSharps5ths,minorScale5ths,minorSharps5ths,roots4ths,notes4ths,freq4ths,majorScale4ths,majorFlats4ths,minorScale4ths,minorFlats4ths
1,C,C,TRUE,TRUE,1,261.6255653005986,1,C,1,"C,D,E,F,G,A,B",,"C,D,D#,F,G,G#,A#","D#,G#,A#",1,C,1,"C,D,E,F,G,A,B",,"C,D,D#,F,G,G#,A#",
2,C#,Db,FALSE,FALSE,1.0594630943592953,277.1826309768721,8,G,1.498307076876682,"G,A,B,C,D,E,F#",F#,"G,A,A#,C,D,D#,F","A#,D#",6,F,1.3348398541700346,"F,G,A,A#,C,D,E",,"F,G,G#,A#,C,C#,D#",
3,D,D,TRUE,TRUE,1.122462048309373,293.6647679174076,3,D,1.1224620483093737,"D,E,F#,G,A,B,C#","F#,C#","D,E,F,G,A,A#,C",A#,11,Bb,1.7817974362806792,"A#,C,D,D#,F,G,A",,"A#,C,C#,D#,F,F#,G#",
4,D#,Eb,FALSE,TRUE,1.1892071150027212,311.1269837220809,10,A,1.6817928305074306,"A,B,C#,D,E,F#,G#","C#,F#,G#","A,B,C,D,E,F,G",,4,Eb,1.1892071150027217,"D#,F,G,G#,A#,C,D",,"D#,F,F#,G#,A#,B,C#",
5,E,E,TRUE,FALSE,1.2599210498948734,329.62755691287,5,E,1.2599210498948747,"E,F#,G#,A,B,C#,D#","F#,G#,C#,D#","E,F#,G,A,B,C,D",F#,9,Ab,1.5874010519682005,"G#,A#,C,C#,D#,F,G",,"G#,A#,B,C#,D#,E,F#",
6,F,F,TRUE,TRUE,1.3348398541700346,349.22823143300394,12,B,1.88774862536339,"B,C#,D#,E,F#,G#,A#","C#,D#,F#,G#,A#","B,C#,D,E,F#,G,A","C#,F#",2,Db,1.0594630943592962,"C#,D#,F,F#,G#,A#,C",,"C#,D#,E,F#,G#,A,B",
7,F#,Gb,FALSE,FALSE,1.4142135623730954,369.99442271163446,7,F#,1.4142135623730976,"F#,G#,A#,B,C#,D#,F","F#,G#,A#,C#,D#","F#,G#,A,B,C#,D,E","F#,G#,C#",7,Gb,1.4142135623730965,"F#,G#,A#,B,C#,D#,F",,"F#,G#,A,B,C#,D,E",
8,G,G,TRUE,TRUE,1.498307076876682,391.9954359817494,2,C#,1.0594630943592975,"C#,D#,F,F#,G#,A#,C","C#,D#,F#,G#,A#","C#,D#,E,F#,G#,A,B","C#,D#,F#,G#",12,B,1.8877486253633893,"B,C#,D#,E,F#,G#,A#",,"B,C#,D,E,F#,G,A",
9,G#,Ab,FALSE,TRUE,1.5874010519682,415.30469757994524,9,G#,1.5874010519682034,"G#,A#,C,C#,D#,F,G","G#,A#,C#,D#","G#,A#,B,C#,D#,E,F#","G#,A#,C#,D#,F#",5,E,1.259921049894875,"E,F#,G#,A,B,C#,D#",,"E,F#,G,A,B,C,D",
10,A,A,TRUE,FALSE,1.6817928305074297,440.0000000000001,4,D#,1.1892071150027244,"D#,F,G,G#,A#,C,D","D#,G#,A#","D#,F,F#,G#,A#,B,C#","D#,F#,G#,A#,C#",10,A,1.6817928305074317,"A,B,C#,D,E,F#,G#",,"A,B,C,D,E,F,G",
11,A#,Bb,FALSE,TRUE,1.7817974362806792,466.16376151809004,11,A#,1.781797436280684,"A#,C,D,D#,F,G,A","A#,D#","A#,C,C#,D#,F,F#,G#","A#,C#,D#,F#,G#",3,D,1.1224620483093748,"D,E,F#,G,A,B,C#",,"D,E,F,G,A,A#,C",
12,B,B,TRUE,FALSE,1.8877486253633877,493.8833012561243,6,F,1.3348398541700388,"F,G,A,A#,C,D,E",A#,"F,G,G#,A#,C,C#,D#","G#,A#,C#,D#",8,G,1.4983070768766842,"G,A,B,C,D,E,F#",,"G,A,A#,C,D,D#,F",
13,C2,C2,TRUE,TRUE,2.000000000000001,523.2511306011975,1,C,2.000000000000007,"C,D,E,F,G,A,B",,"C,D,D#,F,G,G#,A#","D#,G#,A#",1,C,2.000000000000004,"C,D,E,F,G,A,B",,"C,D,D#,F,G,G#,A#",
